Result: collision
Goal: [-29.4867741339313, -20.81167490980159, 1.9198757319042983, 106.77611394507467, 19.367901196645704, -47.72832294803526]
Steps: 31
Start: [21.032567678809254, -1.883927070554746, -26.77951769564361, 73.38354153430419, -7.962933757306246, -90.44516688360218]
End: [37.255848266112174, -3.081816317672789, 21.13516324970217, 32.10393130839785, 71.24914945207098, -149.28563522825658]
Start distance: 61.1mm
End distance: 71.7mm

Step 013 (dist=64.3mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=64.3, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,0.05,0.28], e_t=[2.5,-0.1,8.6], best_dir=2, scores=[-1.2, 34.3, 44.43, 23.27, -16.8, -52.3, -62.43, -41.27], e_t_direct=[-7.4,-23.1,-21.3], goal_w=[-60.7,-20.5,-5.5]
Step 014 (dist=65.5mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=65.5, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,-0.05,0.28], e_t=[2.5,0.1,8.6], best_dir=2, scores=[-16.8, 23.27, 44.43, 34.3, -1.2, -41.27, -62.43, -52.3], e_t_direct=[-6.4,-18.2,-24.7], goal_w=[-61.6,-20.9,-8.4]
Step 015 (dist=66.6mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=66.6, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,0.05,0.28], e_t=[2.5,-0.1,8.6], best_dir=2, scores=[-1.2, 34.3, 44.43, 23.27, -16.8, -52.3, -62.43, -41.27], e_t_direct=[-9.1,-23.1,-27.0], goal_w=[-62.4,-20.5,-11.2]
Step 016 (dist=68.1mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=68.1, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,-0.05,0.28], e_t=[2.5,0.1,8.6], best_dir=2, scores=[-16.8, 23.27, 44.43, 34.3, -1.2, -41.27, -62.43, -52.3], e_t_direct=[-8.1,-18.2,-30.4], goal_w=[-63.2,-20.9,-14.1]
Step 017 (dist=69.4mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=69.4, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,0.05,0.28], e_t=[2.5,-0.1,8.6], best_dir=2, scores=[-1.2, 34.3, 44.43, 23.27, -16.8, -52.3, -62.43, -41.27], e_t_direct=[-10.8,-23.1,-32.7], goal_w=[-64.1,-20.5,-16.9]
Step 018 (dist=71.0mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=71.0, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,-0.05,0.28], e_t=[2.5,0.1,8.6], best_dir=2, scores=[-16.8, 23.27, 44.43, 34.3, -1.2, -41.27, -62.43, -52.3], e_t_direct=[-9.8,-18.2,-36.1], goal_w=[-64.9,-20.9,-19.8]
Step 019 (dist=72.5mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=72.5, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,0.05,0.28], e_t=[2.5,-0.1,8.6], best_dir=2, scores=[-1.2, 34.3, 44.43, 23.27, -16.8, -52.3, -62.43, -41.27], e_t_direct=[-12.5,-23.1,-38.4], goal_w=[-65.8,-20.5,-22.6]
Step 020 (dist=74.3mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=74.3, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,-0.05,0.28], e_t=[2.5,0.1,8.6], best_dir=2, scores=[-16.8, 23.27, 44.43, 34.3, -1.2, -41.27, -62.43, -52.3], e_t_direct=[-11.5,-18.2,-41.8], goal_w=[-66.6,-20.9,-25.5]
Step 021 (dist=76.0mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=76.0, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.96,0.05,0.28], e_t=[2.5,-0.1,8.6], best_dir=2, scores=[-1.2, 34.3, 44.43, 23.27, -16.8, -52.3, -62.43, -41.27], e_t_direct=[-14.2,-23.1,-44.1], goal_w=[-67.5,-20.5,-28.3]
Step 022 (dist=78.6mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [0.00, -1.00, 3.00], dist=78.6, phase=CRAWL_TO_GOAL, ss=0, pb=1, n=[0.00,0.00,1.00], e_t=[-69.5,-21.0,0.0], best_dir=4, scores=[-425.88, -392.67, -134.71, 196.89, 407.88, 374.67, 116.71, -214.89], e_t_direct=[-69.5,-21.0,0.0], geo=False, goal_w=[-69.5,-21.0,-30.1], is_horiz=True, up=[0.0, 0.0, 1.0], h_len=72.57, v_comp=30.08, h_ratio=2.413, aw=0.0, e_t_h=[-69.5,-21.0,0.0]
Step 023 (dist=80.9mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [0.71, -0.71, 3.00], dist=80.9, phase=CRAWL_TO_EDGE, ss=1, pb=1, n=[0.96,0.05,-0.27], e_t=[-2.1,-3.3,-8.1], best_dir=3, scores=[-55.2, -21.9, 18.95, 43.44, 37.2, 3.9, -36.95, -61.44], e_t_direct=[-11.7,-18.3,-44.4], goal_w=[-73.2,-21.3,-27.0]
Step 024 (dist=79.0mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [0.00, 1.00, 3.00], dist=79.0, phase=CRAWL_TO_EDGE, ss=1, pb=1, n=[0.96,-0.05,-0.27], e_t=[-2.4,-4.1,-7.6], best_dir=0, scores=[42.38, 15.59, -25.61, -57.08, -60.38, -33.59, 7.61, 39.08], e_t_direct=[-12.9,-22.5,-41.5], goal_w=[-72.5,-19.5,-24.6]
Step 025 (dist=77.3mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [0.00, 1.00, 3.00], dist=77.3, phase=CRAWL_TO_EDGE, ss=1, pb=1, n=[0.96,-0.05,-0.27], e_t=[-2.4,-4.3,-7.6], best_dir=0, scores=[42.04, 14.62, -26.64, -57.56, -60.04, -32.62, 8.64, 39.56], e_t_direct=[-12.0,-22.0,-38.7], goal_w=[-71.7,-19.1,-21.8]
Step 026 (dist=75.7mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [0.00, 1.00, 3.00], dist=75.7, phase=CRAWL_TO_EDGE, ss=1, pb=1, n=[0.96,-0.05,-0.27], e_t=[-2.3,-4.5,-7.5], best_dir=0, scores=[41.63, 13.51, -27.79, -58.08, -59.63, -31.51, 9.79, 40.08], e_t_direct=[-11.2,-21.5,-35.8], goal_w=[-70.9,-18.6,-18.9]
Step 027 (dist=74.1mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [0.00, 1.00, 3.00], dist=74.1, phase=CRAWL_TO_EDGE, ss=1, pb=1, n=[0.96,-0.05,-0.27], e_t=[-2.3,-4.7,-7.3], best_dir=0, scores=[41.13, 12.24, -29.09, -58.65, -59.13, -30.24, 11.09, 40.65], e_t_direct=[-10.4,-21.0,-33.0], goal_w=[-70.0,-18.1,-16.1]
Step 028 (dist=73.5mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [1.00, 0.00, 3.00], dist=73.5, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[-0.15,0.92,-0.35], e_t=[-0.5,3.1,8.4], best_dir=2, scores=[8.27, 39.39, 42.17, 14.97, -26.27, -57.39, -60.17, -32.97], e_t_direct=[-69.9,-17.2,-14.7], goal_w=[-69.7,-18.3,-14.3]
Step 029 (dist=71.7mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [0.00, -1.00, 3.00], dist=71.7, phase=CRAWL_TO_EDGE, ss=0, pb=1, n=[0.96,-0.05,-0.27], e_t=[2.4,-0.1,8.7], best_dir=4, scores=[-62.14, -53.36, -18.59, 21.8, 44.14, 35.36, 0.59, -39.8], e_t_direct=[-10.7,-22.4,-33.9], goal_w=[-66.5,-19.6,-18.1]
Step 030 (dist=74.9mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [0.71, -0.71, 3.00], dist=74.9, phase=CRAWL_TO_EDGE, ss=1, pb=1, n=[-0.96,0.05,0.28], e_t=[-2.4,-4.5,-7.4], best_dir=3, scores=[-29.86, 11.47, 40.81, 40.97, 11.86, -29.47, -58.81, -58.97], e_t_direct=[-12.1,-22.8,-37.3], goal_w=[-69.3,-20.0,-20.4]
Step 031 (dist=71.7mm): source: heuristic(ml_low,best_ml=0.80,ht=0.80,eps=0.360,used=0.349), type: MoveTangentially, params: [0.00, -1.00, 3.00], dist=71.7, phase=CRAWL_TO_GOAL, ss=0, pb=1, n=[0.96,-0.05,-0.27], e_t=[2.4,-0.1,8.7], best_dir=4, scores=[-62.14, -53.36, -18.59, 21.8, 44.14, 35.36, 0.59, -39.8], e_t_direct=[-10.9,-20.5,-35.0], goal_w=[-66.7,-17.7,-19.2]
