Result: success - Initially, neither the agent nor the target are visible, apparently inside. Then there are other views where the target is on the outer wall. And then, a miracle: the agent appears through the wall and there is no collision. A bug.
Goal: [16.41998278835931, 25.817672190694047, 6.717018137137794, -69.27812245021138, 11.017817580046035, -26.802253631010963]
Steps: 208
Start: [-5.11149537775448, -9.64017322478517, -28.263158798217773, 0.0, 0.0, 0.0]
End: [18.77862752700713, 23.441059052451326, 8.260532151934122, -69.0704201159202, 13.527548214643133, -31.45035574482182]
Start distance: 54.3mm
End distance: 3.7mm

Step 095 (dist=35.3mm): source: sac, act_name: move_tangentially
Step 096 (dist=35.1mm): source: sac, act_name: move_tangentially
Step 097 (dist=33.6mm): source: sac, act_name: move_tangentially
Step 098 (dist=36.0mm): source: sac, act_name: move_tangentially
Step 099 (dist=36.4mm): source: sac, act_name: move_tangentially
Step 100 (dist=37.7mm): source: sac, act_name: move_tangentially
Step 101 (dist=38.6mm): source: sac, act_name: move_tangentially
Step 102 (dist=39.5mm): source: sac, act_name: move_tangentially
Step 103 (dist=41.0mm): source: sac, act_name: move_tangentially
Step 104 (dist=42.1mm): source: sac, act_name: move_tangentially
Step 105 (dist=43.8mm): source: sac, act_name: move_tangentially
Step 106 (dist=44.0mm): source: sac, act_name: move_tangentially
Step 107 (dist=43.0mm): source: sac, act_name: move_tangentially
Step 108 (dist=42.2mm): source: sac, act_name: move_tangentially
Step 109 (dist=41.7mm): source: sac, act_name: move_tangentially
Step 110 (dist=42.7mm): source: sac, act_name: move_tangentially
Step 111 (dist=41.4mm): source: sac, act_name: move_tangentially
Step 112 (dist=41.5mm): source: sac, act_name: move_tangentially
Step 113 (dist=40.3mm): source: sac, act_name: move_tangentially
Step 114 (dist=39.4mm): source: sac, act_name: move_tangentially
Step 115 (dist=40.8mm): source: sac, act_name: move_tangentially
Step 116 (dist=40.8mm): source: sac, act_name: move_tangentially
Step 117 (dist=39.7mm): source: sac, act_name: move_tangentially
Step 118 (dist=38.8mm): source: sac, act_name: move_tangentially
Step 119 (dist=37.6mm): source: sac, act_name: move_tangentially
Step 120 (dist=37.6mm): source: sac, act_name: move_tangentially
Step 121 (dist=38.6mm): source: sac, act_name: move_tangentially
Step 122 (dist=37.6mm): source: sac, act_name: move_tangentially
Step 123 (dist=38.8mm): source: sac, act_name: move_tangentially
Step 124 (dist=39.7mm): source: sac, act_name: move_tangentially
Step 125 (dist=40.8mm): source: sac, act_name: move_tangentially
Step 126 (dist=42.1mm): source: sac, act_name: move_tangentially
Step 127 (dist=41.9mm): source: sac, act_name: move_tangentially
Step 128 (dist=40.9mm): source: sac, act_name: move_tangentially
Step 129 (dist=42.5mm): source: sac, act_name: move_tangentially
Step 130 (dist=40.9mm): source: sac, act_name: move_tangentially
Step 131 (dist=40.1mm): source: sac, act_name: move_tangentially
Step 132 (dist=40.6mm): source: sac, act_name: move_tangentially
Step 133 (dist=41.3mm): source: sac, act_name: move_tangentially
Step 134 (dist=39.9mm): source: sac, act_name: move_tangentially
Step 135 (dist=38.6mm): source: sac, act_name: move_tangentially
Step 136 (dist=39.3mm): source: sac, act_name: move_tangentially
Step 137 (dist=40.2mm): source: sac, act_name: move_tangentially
Step 138 (dist=39.2mm): source: sac, act_name: move_tangentially
Step 139 (dist=40.4mm): source: sac, act_name: move_tangentially
Step 140 (dist=39.6mm): source: sac, act_name: move_tangentially
Step 141 (dist=38.5mm): source: sac, act_name: move_tangentially
Step 142 (dist=38.3mm): source: sac, act_name: move_tangentially
Step 143 (dist=38.5mm): source: sac, act_name: move_tangentially
Step 144 (dist=39.2mm): source: sac, act_name: move_tangentially
Step 145 (dist=39.2mm): source: sac, act_name: move_tangentially
Step 146 (dist=39.2mm): source: sac, act_name: move_tangentially
Step 147 (dist=39.2mm): source: sac, act_name: move_tangentially
Step 148 (dist=39.5mm): source: sac, act_name: move_tangentially
Step 149 (dist=40.3mm): source: sac, act_name: move_tangentially
Step 150 (dist=41.8mm): source: sac, act_name: move_tangentially
Step 151 (dist=43.6mm): source: sac, act_name: move_tangentially
Step 152 (dist=41.8mm): source: sac, act_name: move_tangentially
Step 153 (dist=43.2mm): source: sac, act_name: move_tangentially
Step 154 (dist=43.0mm): source: sac, act_name: move_tangentially
Step 155 (dist=44.8mm): source: sac, act_name: move_tangentially
Step 156 (dist=46.1mm): source: sac, act_name: move_tangentially
Step 157 (dist=48.1mm): source: sac, act_name: move_tangentially
Step 158 (dist=46.8mm): source: sac, act_name: move_tangentially
Step 159 (dist=47.0mm): source: sac, act_name: move_tangentially
Step 160 (dist=45.1mm): source: sac, act_name: move_tangentially
Step 161 (dist=44.9mm): source: sac, act_name: move_tangentially
Step 162 (dist=43.5mm): source: sac, act_name: move_tangentially
Step 163 (dist=44.8mm): source: sac, act_name: move_tangentially
Step 164 (dist=46.3mm): source: sac, act_name: move_tangentially
Step 165 (dist=46.1mm): source: sac, act_name: move_tangentially
Step 166 (dist=46.2mm): source: sac, act_name: move_tangentially
Step 167 (dist=46.4mm): source: sac, act_name: move_tangentially
Step 168 (dist=46.2mm): source: sac, act_name: move_tangentially
Step 169 (dist=46.4mm): source: sac, act_name: move_tangentially
Step 170 (dist=44.5mm): source: sac, act_name: move_tangentially
Step 171 (dist=43.1mm): source: sac, act_name: move_tangentially
Step 172 (dist=41.4mm): source: sac, act_name: move_tangentially
Step 173 (dist=43.1mm): source: sac, act_name: move_tangentially
Step 174 (dist=44.2mm): source: sac, act_name: move_tangentially
Step 175 (dist=45.7mm): source: sac, act_name: move_tangentially
Step 176 (dist=45.6mm): source: sac, act_name: move_tangentially
Step 177 (dist=44.3mm): source: sac, act_name: move_tangentially
Step 178 (dist=43.2mm): source: sac, act_name: detach
Step 179 (dist=17.0mm): source: sac, act_name: move_tangentially
Step 180 (dist=15.2mm): source: sac, act_name: move_tangentially
Step 181 (dist=17.8mm): source: sac, act_name: move_tangentially
Step 182 (dist=20.3mm): source: sac, act_name: move_tangentially
Step 183 (dist=22.0mm): source: sac, act_name: move_tangentially
Step 184 (dist=20.3mm): source: sac, act_name: move_tangentially
Step 185 (dist=17.8mm): source: sac, act_name: move_tangentially
Step 186 (dist=19.7mm): source: sac, act_name: move_tangentially
Step 187 (dist=16.7mm): source: sac, act_name: move_tangentially
Step 188 (dist=14.6mm): source: sac, act_name: move_tangentially
Step 189 (dist=11.7mm): source: q_store, act_name: detach_edge
Step 190 (dist=39.1mm): source: q_store, act_name: free_forward
Step 191 (dist=31.7mm): source: q_store, act_name: free_forward
Step 192 (dist=24.7mm): source: q_store, act_name: free_forward
Step 193 (dist=18.5mm): source: q_store, act_name: free_forward
Step 194 (dist=14.2mm): source: q_store, act_name: look_down_big
Step 195 (dist=14.2mm): source: q_store, act_name: free_forward
Step 196 (dist=12.3mm): source: q_store, act_name: look_down_big
Step 197 (dist=12.3mm): source: q_store, act_name: move_tangentially
Step 198 (dist=10.0mm): source: sac, act_name: move_tangentially
Step 199 (dist=7.4mm): source: sac, act_name: move_tangentially
Step 200 (dist=10.4mm): source: sac, act_name: move_tangentially
Step 201 (dist=10.7mm): source: sac, act_name: move_tangentially
Step 202 (dist=7.8mm): source: sac, act_name: move_tangentially
Step 203 (dist=7.0mm): source: sac, act_name: move_tangentially
Step 204 (dist=7.4mm): source: sac, act_name: move_tangentially
Step 205 (dist=4.9mm): source: sac, act_name: move_tangentially
Step 206 (dist=7.9mm): source: sac, act_name: move_tangentially
Step 207 (dist=6.2mm): source: sac, act_name: move_tangentially
Step 208 (dist=3.7mm): source: sac, act_name: move_tangentially
