1500 - Result: collision
Goal: [8.359759715026023, -19.821399698649202, -26.116954669293722, 38.90587569455028, 12.70710435771207, -169.9332546260096]
Steps: 157
Start: [36.20094417483834, 4.313033151358094, -9.397652247542087, -62.33129000081483, 56.69792574877914, -57.89868192877634]
End: [34.94957263716325, 2.511811444797555, -16.55808474778634, -71.98790032357867, -11.144448127927149, -11.684000214554658]
Start distance: 40.5mm
End distance: 36.0mm

Step 098 (dist=92.8mm): source: q_store, act_name: free_forward
Step 099 (dist=92.4mm): source: q_store, act_name: look_up_big
Step 100 (dist=92.4mm): source: q_store, act_name: free_forward
Step 101 (dist=90.6mm): source: q_store, act_name: free_forward
Step 102 (dist=89.6mm): source: q_store, act_name: free_forward
Step 103 (dist=89.2mm): source: q_store, act_name: look_up_big
Step 104 (dist=89.2mm): source: q_store, act_name: free_forward
Step 105 (dist=87.5mm): source: q_store, act_name: free_forward
Step 106 (dist=86.4mm): source: q_store, act_name: free_forward
Step 107 (dist=86.1mm): source: q_store, act_name: look_up_big
Step 108 (dist=86.1mm): source: q_store, act_name: free_forward
Step 109 (dist=84.5mm): source: q_store, act_name: free_forward
Step 110 (dist=83.6mm): source: q_store, act_name: free_forward
Step 111 (dist=83.4mm): source: q_store, act_name: free_forward
Step 112 (dist=84.1mm): source: q_store, act_name: free_forward
Step 113 (dist=85.4mm): source: q_store, act_name: look_up_big
Step 114 (dist=85.4mm): source: q_store, act_name: look_up_big
Step 115 (dist=85.4mm): source: q_store, act_name: free_forward
Step 116 (dist=83.4mm): source: q_store, act_name: free_forward
Step 117 (dist=82.1mm): source: q_store, act_name: look_up_big
Step 118 (dist=82.1mm): source: q_store, act_name: free_forward
Step 119 (dist=79.4mm): source: q_store, act_name: free_forward
Step 120 (dist=77.6mm): source: q_store, act_name: free_forward
Step 121 (dist=76.5mm): source: q_store, act_name: look_up_big
Step 122 (dist=76.5mm): source: q_store, act_name: free_forward
Step 123 (dist=74.1mm): source: q_store, act_name: free_forward
Step 124 (dist=72.6mm): source: q_store, act_name: free_forward
Step 125 (dist=72.0mm): source: q_store, act_name: look_up_big
Step 126 (dist=72.0mm): source: q_store, act_name: free_forward
Step 127 (dist=70.1mm): source: q_store, act_name: free_forward
Step 128 (dist=69.1mm): source: q_store, act_name: free_forward_small
