Result: timeout
Goal: [-15.471380173762329, -20.42520851209839, -29.54818483218696, -153.9456386634831, 28.832346174415413, 98.83037039910437]
Steps: 500
Start: [27.35565360028247, -2.6403820546011394, -20.355117525567778, 14.574132287847647, 47.799495195125274, -169.09796412002618]
End: [-3.8583298641068016, -11.89254331898542, -28.263158798219774, 0.0, 0.0, 0.0]
Start distance: 47.3mm
End distance: 14.5mm

Step 097 (dist=43.6mm): source: sac, act_name: move_tangentially
Step 098 (dist=45.5mm): source: sac, act_name: move_tangentially
Step 099 (dist=47.1mm): source: sac, act_name: move_tangentially
Step 100 (dist=48.7mm): source: sac, act_name: move_tangentially
Step 101 (dist=50.5mm): source: sac, act_name: move_tangentially
Step 102 (dist=50.8mm): source: sac, act_name: move_tangentially
Step 103 (dist=48.4mm): source: sac, act_name: move_tangentially
Step 104 (dist=50.8mm): source: sac, act_name: move_tangentially
Step 105 (dist=50.3mm): source: sac, act_name: move_tangentially
Step 106 (dist=47.9mm): source: sac, act_name: move_tangentially
Step 107 (dist=46.3mm): source: sac, act_name: move_tangentially
Step 108 (dist=48.3mm): source: sac, act_name: move_tangentially
Step 109 (dist=49.7mm): source: sac, act_name: move_tangentially
Step 110 (dist=49.3mm): source: sac, act_name: move_tangentially
Step 111 (dist=50.9mm): source: sac, act_name: move_tangentially
Step 112 (dist=52.7mm): source: sac, act_name: move_tangentially
Step 113 (dist=50.3mm): source: sac, act_name: move_tangentially
Step 114 (dist=48.8mm): source: sac, act_name: move_tangentially
Step 115 (dist=48.5mm): source: sac, act_name: move_tangentially
Step 116 (dist=50.4mm): source: sac, act_name: move_tangentially
Step 117 (dist=50.8mm): source: sac, act_name: move_tangentially
Step 118 (dist=52.1mm): source: sac, act_name: move_tangentially
Step 119 (dist=52.6mm): source: sac, act_name: move_tangentially
Step 120 (dist=50.2mm): source: sac, act_name: move_tangentially
Step 121 (dist=49.7mm): source: sac, act_name: move_tangentially
Step 122 (dist=51.2mm): source: sac, act_name: move_tangentially
Step 123 (dist=52.6mm): source: sac, act_name: move_tangentially
Step 124 (dist=51.1mm): source: sac, act_name: move_tangentially
Step 125 (dist=50.7mm): source: sac, act_name: move_tangentially
Step 126 (dist=52.5mm): source: sac, act_name: move_tangentially
Step 127 (dist=53.9mm): source: sac, act_name: move_tangentially
Step 128 (dist=55.9mm): source: sac, act_name: move_tangentially
Step 129 (dist=56.4mm): source: sac, act_name: move_tangentially
Step 130 (dist=55.7mm): source: sac, act_name: move_tangentially
Step 131 (dist=54.8mm): source: sac, act_name: move_tangentially
Step 132 (dist=55.8mm): source: sac, act_name: move_tangentially
Step 133 (dist=53.8mm): source: sac, act_name: move_tangentially
Step 134 (dist=54.2mm): source: sac, act_name: move_tangentially
Step 135 (dist=54.6mm): source: sac, act_name: move_tangentially
Step 136 (dist=56.5mm): source: sac, act_name: move_tangentially
Step 137 (dist=54.7mm): source: sac, act_name: move_tangentially
Step 138 (dist=52.6mm): source: sac, act_name: move_tangentially
Step 139 (dist=50.3mm): source: sac, act_name: move_tangentially
Step 140 (dist=48.3mm): source: sac, act_name: move_tangentially
Step 141 (dist=46.8mm): source: sac, act_name: move_tangentially
Step 142 (dist=46.4mm): source: sac, act_name: move_tangentially
Step 143 (dist=46.6mm): source: sac, act_name: move_tangentially
Step 144 (dist=46.2mm): source: sac, act_name: move_tangentially
Step 145 (dist=43.7mm): source: sac, act_name: move_tangentially
Step 146 (dist=41.3mm): source: sac, act_name: move_tangentially
Step 147 (dist=43.4mm): source: sac, act_name: move_tangentially
Step 148 (dist=41.3mm): source: sac, act_name: move_tangentially
Step 149 (dist=41.6mm): source: sac, act_name: move_tangentially
Step 150 (dist=38.7mm): source: sac, act_name: move_tangentially
Step 151 (dist=35.7mm): source: sac, act_name: move_tangentially
Step 152 (dist=35.3mm): source: sac, act_name: move_tangentially
Step 153 (dist=32.3mm): source: sac, act_name: move_tangentially
Step 154 (dist=35.3mm): source: sac, act_name: move_tangentially
Step 155 (dist=32.3mm): source: sac, act_name: move_tangentially
Step 156 (dist=34.4mm): source: sac, act_name: move_tangentially
Step 157 (dist=37.4mm): source: sac, act_name: move_tangentially
Step 158 (dist=35.3mm): source: sac, act_name: move_tangentially
Step 159 (dist=35.2mm): source: sac, act_name: move_tangentially
Step 160 (dist=33.2mm): source: sac, act_name: move_tangentially
Step 161 (dist=33.6mm): source: sac, act_name: move_tangentially
Step 162 (dist=36.5mm): source: sac, act_name: move_tangentially
Step 163 (dist=39.0mm): source: sac, act_name: move_tangentially
Step 164 (dist=41.5mm): source: sac, act_name: move_tangentially
Step 165 (dist=40.0mm): source: sac, act_name: move_tangentially
Step 166 (dist=42.7mm): source: sac, act_name: move_tangentially
Step 167 (dist=40.0mm): source: sac, act_name: move_tangentially
Step 168 (dist=41.0mm): source: sac, act_name: move_tangentially
Step 169 (dist=43.6mm): source: sac, act_name: move_tangentially
Step 170 (dist=45.7mm): source: sac, act_name: move_tangentially
Step 171 (dist=47.5mm): source: sac, act_name: move_tangentially
Step 172 (dist=45.2mm): source: sac, act_name: move_tangentially
Step 173 (dist=44.3mm): source: sac, act_name: move_tangentially
Step 174 (dist=43.2mm): source: sac, act_name: move_tangentially
Step 175 (dist=45.8mm): source: sac, act_name: move_tangentially
Step 176 (dist=43.4mm): source: sac, act_name: move_tangentially
Step 177 (dist=41.6mm): source: sac, act_name: move_tangentially
Step 178 (dist=40.6mm): source: sac, act_name: move_tangentially
Step 179 (dist=41.6mm): source: sac, act_name: move_tangentially
Step 180 (dist=40.7mm): source: sac, act_name: move_tangentially
Step 181 (dist=42.7mm): source: sac, act_name: move_tangentially
Step 182 (dist=43.5mm): source: sac, act_name: move_tangentially
Step 183 (dist=42.5mm): source: sac, act_name: move_tangentially
Step 184 (dist=40.2mm): source: sac, act_name: move_tangentially
Step 185 (dist=42.6mm): source: sac, act_name: move_tangentially
Step 186 (dist=43.6mm): source: sac, act_name: move_tangentially
Step 187 (dist=45.4mm): source: sac, act_name: move_tangentially
Step 188 (dist=43.1mm): source: sac, act_name: move_tangentially
Step 189 (dist=45.5mm): source: sac, act_name: move_tangentially
Step 190 (dist=43.1mm): source: sac, act_name: move_tangentially
Step 191 (dist=42.0mm): source: sac, act_name: move_tangentially
Step 192 (dist=40.2mm): source: sac, act_name: move_tangentially
Step 193 (dist=42.3mm): source: sac, act_name: move_tangentially
Step 194 (dist=43.1mm): source: sac, act_name: move_tangentially
Step 195 (dist=44.9mm): source: sac, act_name: move_tangentially
Step 196 (dist=43.7mm): source: sac, act_name: move_tangentially
Step 197 (dist=41.8mm): source: sac, act_name: move_tangentially
Step 198 (dist=44.3mm): source: sac, act_name: move_tangentially
Step 199 (dist=41.9mm): source: sac, act_name: move_tangentially
Step 200 (dist=44.2mm): source: sac, act_name: move_tangentially
Step 201 (dist=42.5mm): source: sac, act_name: move_tangentially
Step 202 (dist=43.6mm): source: sac, act_name: move_tangentially
Step 203 (dist=41.6mm): source: sac, act_name: move_tangentially
Step 204 (dist=40.8mm): source: q_store, act_name: move_tangentially
Step 205 (dist=37.9mm): source: sac, act_name: move_tangentially
Step 206 (dist=35.3mm): source: q_store, act_name: move_tangentially
Step 207 (dist=32.4mm): source: sac, act_name: move_tangentially
Step 208 (dist=34.1mm): source: sac, act_name: move_tangentially
Step 209 (dist=36.5mm): source: q_store, act_name: move_tangentially
Step 210 (dist=33.6mm): source: sac, act_name: move_tangentially
Step 211 (dist=31.1mm): source: sac, act_name: move_tangentially
Step 212 (dist=32.9mm): source: sac, act_name: move_tangentially
Step 213 (dist=29.9mm): source: sac, act_name: move_tangentially
Step 214 (dist=29.8mm): source: sac, act_name: move_tangentially
Step 215 (dist=32.8mm): source: q_store, act_name: move_tangentially
Step 216 (dist=29.8mm): source: sac, act_name: move_tangentially
Step 217 (dist=26.8mm): source: sac, act_name: move_tangentially
Step 218 (dist=28.9mm): source: sac, act_name: move_tangentially
Step 219 (dist=31.0mm): source: sac, act_name: move_tangentially
Step 220 (dist=33.2mm): source: q_store, act_name: move_tangentially
Step 221 (dist=30.2mm): source: sac, act_name: move_tangentially
Step 222 (dist=33.2mm): source: q_store, act_name: move_tangentially
Step 223 (dist=30.2mm): source: sac, act_name: move_tangentially
Step 224 (dist=30.1mm): source: sac, act_name: move_tangentially
Step 225 (dist=32.4mm): source: sac, act_name: move_tangentially
Step 226 (dist=35.4mm): source: q_store, act_name: move_tangentially
Step 227 (dist=32.4mm): source: sac, act_name: move_tangentially
Step 228 (dist=34.4mm): source: q_store, act_name: move_tangentially
Step 229 (dist=31.4mm): source: sac, act_name: move_tangentially
