Result: timeout
Goal: [5.2769172608558685, 27.7823414247585, -3.9020351155439474, 110.34762172270342, 2.76544752652292, -7.412395643009103]
Steps: 500
Start: [23.270821212331548, -2.7289679750133184, -31.27481114558116, -171.73871055763965, 37.31996258254273, -174.96943177525307]
End: [17.852466658745627, 94.28062761829952, -43.02013054337861, -60.0, 0.0, 0.0]
Start distance: 44.8mm
End distance: 78.2mm

Step 095 (dist=7.8mm): source: q_store, act_name: move_tangentially
Step 096 (dist=8.2mm): source: q_store, act_name: move_tangentially
Step 097 (dist=9.4mm): source: q_store, act_name: move_tangentially
Step 098 (dist=11.6mm): source: q_store, act_name: move_tangentially
Step 099 (dist=13.5mm): source: q_store, act_name: move_tangentially
Step 100 (dist=13.0mm): source: q_store, act_name: move_tangentially
Step 101 (dist=15.0mm): source: q_store, act_name: move_tangentially
Step 102 (dist=13.8mm): source: q_store, act_name: move_tangentially
Step 103 (dist=13.0mm): source: q_store, act_name: move_tangentially
Step 104 (dist=12.4mm): source: q_store, act_name: move_tangentially
Step 105 (dist=14.4mm): source: q_store, act_name: move_tangentially
Step 106 (dist=13.5mm): source: q_store, act_name: move_tangentially
Step 107 (dist=13.1mm): source: q_store, act_name: move_tangentially
Step 108 (dist=15.0mm): source: q_store, act_name: move_tangentially
Step 109 (dist=13.9mm): source: q_store, act_name: move_tangentially
Step 110 (dist=15.9mm): source: q_store, act_name: move_tangentially
Step 111 (dist=15.3mm): source: q_store, act_name: move_tangentially
Step 112 (dist=13.5mm): source: q_store, act_name: move_tangentially
Step 113 (dist=12.4mm): source: q_store, act_name: move_tangentially
Step 114 (dist=14.5mm): source: q_store, act_name: move_tangentially
Step 115 (dist=13.7mm): source: q_store, act_name: move_tangentially
Step 116 (dist=12.8mm): source: q_store, act_name: move_tangentially
Step 117 (dist=12.1mm): source: q_store, act_name: move_tangentially
Step 118 (dist=14.0mm): source: q_store, act_name: move_tangentially
Step 119 (dist=13.4mm): source: q_store, act_name: move_tangentially
Step 120 (dist=12.4mm): source: q_store, act_name: move_tangentially
Step 121 (dist=14.4mm): source: q_store, act_name: move_tangentially
Step 122 (dist=13.7mm): source: q_store, act_name: move_tangentially
Step 123 (dist=12.8mm): source: q_store, act_name: move_tangentially
Step 124 (dist=14.9mm): source: q_store, act_name: move_tangentially
Step 125 (dist=13.0mm): source: q_store, act_name: move_tangentially
Step 126 (dist=11.1mm): source: q_store, act_name: move_tangentially
Step 127 (dist=9.4mm): source: q_store, act_name: move_tangentially
Step 128 (dist=7.5mm): source: q_store, act_name: move_tangentially
Step 129 (dist=7.7mm): source: q_store, act_name: move_tangentially
Step 130 (dist=7.7mm): source: q_store, act_name: move_tangentially
Step 131 (dist=7.9mm): source: q_store, act_name: move_tangentially
Step 132 (dist=9.1mm): source: q_store, act_name: move_tangentially
Step 133 (dist=11.5mm): source: q_store, act_name: move_tangentially
Step 134 (dist=13.3mm): source: q_store, act_name: move_tangentially
Step 135 (dist=12.9mm): source: q_store, act_name: move_tangentially
Step 136 (dist=14.9mm): source: q_store, act_name: move_tangentially
Step 137 (dist=13.8mm): source: q_store, act_name: move_tangentially
Step 138 (dist=12.9mm): source: q_store, act_name: move_tangentially
Step 139 (dist=12.3mm): source: q_store, act_name: move_tangentially
Step 140 (dist=14.1mm): source: q_store, act_name: move_tangentially
Step 141 (dist=13.6mm): source: q_store, act_name: move_tangentially
Step 142 (dist=12.6mm): source: q_store, act_name: move_tangentially
Step 143 (dist=14.5mm): source: q_store, act_name: move_tangentially
Step 144 (dist=16.3mm): source: q_store, act_name: move_tangentially
Step 145 (dist=15.7mm): source: q_store, act_name: move_tangentially
Step 146 (dist=15.4mm): source: q_store, act_name: move_tangentially
Step 147 (dist=15.5mm): source: q_store, act_name: move_tangentially
Step 148 (dist=14.0mm): source: q_store, act_name: move_tangentially
Step 149 (dist=12.7mm): source: q_store, act_name: move_tangentially
Step 150 (dist=14.6mm): source: q_store, act_name: move_tangentially
Step 151 (dist=13.7mm): source: q_store, act_name: move_tangentially
Step 152 (dist=12.8mm): source: q_store, act_name: move_tangentially
Step 153 (dist=14.9mm): source: q_store, act_name: move_tangentially
Step 154 (dist=13.1mm): source: q_store, act_name: move_tangentially
Step 155 (dist=11.2mm): source: q_store, act_name: move_tangentially
Step 156 (dist=9.0mm): source: q_store, act_name: move_tangentially
Step 157 (dist=9.6mm): source: q_store, act_name: move_tangentially
Step 158 (dist=10.9mm): source: q_store, act_name: detach_edge
Step 159 (dist=70.2mm): source: q_store, act_name: free_forward
Step 160 (dist=64.8mm): source: q_store, act_name: free_forward
Step 161 (dist=59.9mm): source: q_store, act_name: free_forward
Step 162 (dist=55.8mm): source: q_store, act_name: free_forward
Step 163 (dist=52.6mm): source: q_store, act_name: free_forward
Step 164 (dist=50.5mm): source: q_store, act_name: turn_left_big
Step 165 (dist=50.5mm): source: q_store, act_name: free_forward
Step 166 (dist=49.4mm): source: q_store, act_name: turn_left_big
Step 167 (dist=49.4mm): source: q_store, act_name: look_down_big
Step 168 (dist=49.4mm): source: q_store, act_name: free_forward
Step 169 (dist=47.4mm): source: q_store, act_name: free_forward
Step 170 (dist=46.7mm): source: q_store, act_name: turn_left_big
Step 171 (dist=46.7mm): source: q_store, act_name: look_down_big
Step 172 (dist=46.7mm): source: q_store, act_name: free_forward
Step 173 (dist=45.0mm): source: q_store, act_name: turn_left_big
Step 174 (dist=45.0mm): source: q_store, act_name: turn_left_big
Step 175 (dist=45.0mm): source: q_store, act_name: look_down_big
Step 176 (dist=45.0mm): source: q_store, act_name: free_forward
Step 177 (dist=42.1mm): source: q_store, act_name: look_down_big
Step 178 (dist=42.1mm): source: q_store, act_name: look_down_big
Step 179 (dist=42.1mm): source: sac, act_name: turn_left_big
Step 180 (dist=42.1mm): source: sac, act_name: turn_left_big
Step 181 (dist=42.1mm): source: sac, act_name: turn_left_big
Step 182 (dist=42.1mm): source: sac, act_name: turn_left_big
Step 183 (dist=42.1mm): source: sac, act_name: turn_right_big
Step 184 (dist=42.1mm): source: q_store, act_name: move_tangentially
Step 185 (dist=18.1mm): source: q_store, act_name: move_tangentially
Step 186 (dist=16.7mm): source: q_store, act_name: move_tangentially
Step 187 (dist=15.2mm): source: q_store, act_name: move_tangentially
Step 188 (dist=13.9mm): source: q_store, act_name: move_tangentially
Step 189 (dist=11.7mm): source: q_store, act_name: move_tangentially
Step 190 (dist=11.0mm): source: q_store, act_name: move_tangentially
Step 191 (dist=8.9mm): source: q_store, act_name: move_tangentially
Step 192 (dist=7.7mm): source: q_store, act_name: move_tangentially
Step 193 (dist=6.7mm): source: q_store, act_name: move_tangentially
Step 194 (dist=6.9mm): source: q_store, act_name: move_tangentially
Step 195 (dist=6.9mm): source: q_store, act_name: move_tangentially
Step 196 (dist=7.1mm): source: q_store, act_name: move_tangentially
Step 197 (dist=7.0mm): source: q_store, act_name: move_tangentially
Step 198 (dist=7.2mm): source: q_store, act_name: move_tangentially
Step 199 (dist=7.2mm): source: q_store, act_name: move_tangentially
Step 200 (dist=7.4mm): source: q_store, act_name: move_tangentially
Step 201 (dist=7.4mm): source: q_store, act_name: move_tangentially
Step 202 (dist=7.6mm): source: q_store, act_name: move_tangentially
Step 203 (dist=7.5mm): source: q_store, act_name: move_tangentially
Step 204 (dist=7.8mm): source: q_store, act_name: move_tangentially
Step 205 (dist=7.7mm): source: q_store, act_name: move_tangentially
Step 206 (dist=8.0mm): source: q_store, act_name: move_tangentially
Step 207 (dist=9.2mm): source: q_store, act_name: detach_edge
Step 208 (dist=64.8mm): source: q_store, act_name: free_forward
Step 209 (dist=58.6mm): source: q_store, act_name: free_forward
Step 210 (dist=52.8mm): source: q_store, act_name: free_forward
Step 211 (dist=47.8mm): source: q_store, act_name: free_forward
Step 212 (dist=43.6mm): source: q_store, act_name: free_forward
Step 213 (dist=40.6mm): source: q_store, act_name: turn_left_big
Step 214 (dist=40.6mm): source: q_store, act_name: free_forward
Step 215 (dist=38.8mm): source: q_store, act_name: look_down_big
Step 216 (dist=38.8mm): source: q_store, act_name: turn_left_big
Step 217 (dist=38.8mm): source: q_store, act_name: look_down_big
Step 218 (dist=38.8mm): source: q_store, act_name: free_forward_small
Step 219 (dist=37.6mm): source: q_store, act_name: free_forward_small
Step 220 (dist=36.5mm): source: q_store, act_name: free_forward_small
Step 221 (dist=35.5mm): source: q_store, act_name: free_forward_small
Step 222 (dist=34.5mm): source: q_store, act_name: free_forward_small
Step 223 (dist=33.7mm): source: q_store, act_name: look_down_big
Step 224 (dist=33.7mm): source: q_store, act_name: free_forward_small
Step 225 (dist=32.5mm): source: q_store, act_name: free_forward_small
Step 226 (dist=31.3mm): source: q_store, act_name: free_forward_small
Step 227 (dist=30.3mm): source: q_store, act_name: free_forward_small
Step 228 (dist=29.3mm): source: q_store, act_name: look_down_big
Step 229 (dist=29.3mm): source: sac, act_name: move_tangentially
Step 230 (dist=12.4mm): source: q_store, act_name: move_tangentially
Step 231 (dist=14.5mm): source: q_store, act_name: move_tangentially
Step 232 (dist=13.7mm): source: q_store, act_name: move_tangentially
Step 233 (dist=12.8mm): source: q_store, act_name: move_tangentially
Step 234 (dist=15.0mm): source: q_store, act_name: move_tangentially
Step 235 (dist=13.2mm): source: q_store, act_name: move_tangentially
Step 236 (dist=11.3mm): source: q_store, act_name: move_tangentially
Step 237 (dist=9.1mm): source: q_store, act_name: move_tangentially
Step 238 (dist=9.7mm): source: q_store, act_name: move_tangentially
Step 239 (dist=10.9mm): source: q_store, act_name: move_tangentially
Step 240 (dist=13.0mm): source: q_store, act_name: move_tangentially
Step 241 (dist=14.9mm): source: q_store, act_name: move_tangentially
Step 242 (dist=14.1mm): source: q_store, act_name: move_tangentially
Step 243 (dist=13.5mm): source: q_store, act_name: move_tangentially
Step 244 (dist=12.5mm): source: q_store, act_name: move_tangentially
Step 245 (dist=14.5mm): source: q_store, act_name: move_tangentially
Step 246 (dist=13.7mm): source: q_store, act_name: move_tangentially
Step 247 (dist=12.8mm): source: q_store, act_name: move_tangentially
Step 248 (dist=14.9mm): source: q_store, act_name: move_tangentially
Step 249 (dist=13.1mm): source: q_store, act_name: move_tangentially
Step 250 (dist=11.2mm): source: q_store, act_name: move_tangentially
Step 251 (dist=9.0mm): source: q_store, act_name: move_tangentially
Step 252 (dist=9.7mm): source: q_store, act_name: move_tangentially
Step 253 (dist=11.0mm): source: q_store, act_name: move_tangentially
Step 254 (dist=13.0mm): source: q_store, act_name: move_tangentially
Step 255 (dist=15.0mm): source: q_store, act_name: move_tangentially
Step 256 (dist=14.0mm): source: q_store, act_name: move_tangentially
Step 257 (dist=15.9mm): source: q_store, act_name: move_tangentially
Step 258 (dist=15.2mm): source: q_store, act_name: move_tangentially
Step 259 (dist=14.4mm): source: q_store, act_name: move_tangentially
Step 260 (dist=12.6mm): source: q_store, act_name: move_tangentially
Step 261 (dist=14.7mm): source: q_store, act_name: move_tangentially
Step 262 (dist=13.8mm): source: q_store, act_name: move_tangentially
Step 263 (dist=12.1mm): source: q_store, act_name: move_tangentially
Step 264 (dist=14.1mm): source: q_store, act_name: move_tangentially
Step 265 (dist=13.7mm): source: q_store, act_name: move_tangentially
